Offence group,Code,Community safety partnership,Police force area,Crime Severity Score Apr 15 - Mar 16,Crime Severity Score Apr 16 - Mar 17,Crime Severity Score Apr 17 - Mar 18,Crime Severity Score Apr 18 - Mar 19,Crime Severity Score Apr 19 - Mar 20,Crime Severity Score Apr 20 - Mar 21,"Offence rate per 1,000 population Apr 15 - Mar 16","Offence rate per 1,000 population Apr 16 - Mar 17","Offence rate per 1,000 population Apr 17 - Mar 18","Offence rate per 1,000 population Apr 18 - Mar 19","Offence rate per 1,000 population Apr 19 - Mar 20","Offence rate per 1,000 population Apr 20 - Mar 21"
Total recorded crime,E06000022,Bath and North East Somerset,Avon and Somerset,8,8.7,10.1,9.8,9.8,8.4,57,64,66,63,65,54
Total recorded crime,E06000023,"Bristol, City of",Avon and Somerset,17.7,18.5,21,18.6,18.7,16.2,109,123,123,114,115,101
Total recorded crime,E06000024,North Somerset,Avon and Somerset,9.1,10.5,10.4,11.1,11.5,9.5,64,76,69,73,75,62
Total recorded crime,E10000027,Somerset,Avon and Somerset,8.3,9.7,10.2,10.6,10.8,9.1,57,69,68,69,71,60
Total recorded crime,E06000025,South Gloucestershire,Avon and Somerset,7.4,8.5,8.9,8.5,9.4,7.8,54,60,62,59,61,53
Total recorded crime,E06000055,Bedford,Bedfordshire,9.8,10,12.3,16.6,14,12.5,66,69,75,91,87,81
Total recorded crime,E06000056,Central Bedfordshire,Bedfordshire,7.2,7.5,9,10.7,9.3,7.2,50,51,56,68,64,51
Total recorded crime,E06000032,Luton,Bedfordshire,13.7,15.3,17.2,20,17.2,14.1,78,82,87,101,99,85
Total recorded crime,E07000008,Cambridge,Cambridgeshire,12.2,13.4,16.6,17.7,17.6,13.8,90,102,118,115,127,95
Total recorded crime,E07000009,East Cambridgeshire,Cambridgeshire,4.5,5.3,7.1,7.2,7.9,8.6,29,33,42,41,46,48
Total recorded crime,E07000010,Fenland,Cambridgeshire,9.6,10.1,11.5,12.4,12.3,11.1,58,65,72,67,70,66
Total recorded crime,E07000011,Huntingdonshire,Cambridgeshire,7.3,7.8,9.2,10.2,9.9,9.3,43,50,57,58,59,53
